Interest,Engagement,Excitement,Stress,Relaxation,Focus
46.506,28.151,84.049,18.972,22.789,41.783
46.769,27.675,84.165,19.805,22.669,41.98
47.221,30.136,84.262,22.375,22.71,42.879
47.736,34.58,84.342,27.816,22.929,44.859
48.071,33.166,84.355,34.555,23.258,46.989
48.269,32.192,83.967,41.478,23.823,49.104
48.694,33.987,83.256,42.741,24.544,49.252
48.855,35.087,82.229,43.78,25.205,49.349
48.398,43.444,81.015,44.954,25.811,49.93
47.845,49.228,79.781,46.869,26.242,50.811
47.974,52.005,78.623,50.551,26.635,52.24
49.1,66.764,77.461,53.871,26.992,55.911
52.109,77.784,76.379,56.83,27.509,56.542
59.748,89.45,75.598,59.453,28.889,56.858
71.489,86,74.932,61.769,33.553,55.997
81.892,84.117,74.518,63.808,41.226,51.346
87.54,84.675,74.532,65.603,48.523,50.672
89.418,76.441,74.94,67.181,55.142,47.872
88.131,68.271,75.412,68.569,59.626,45.988
83.452,63.519,76.003,64.89,59.656,44.589
75.855,60.991,76.521,59.729,56.856,44.141
67.981,55.127,76.976,54.538,53.87,43.577
61.349,51.477,76.776,48.998,50.802,43.029
56.397,45.305,76.516,43.648,47.998,42.253
52.871,42.678,76.278,38.479,45.391,41.573
50.351,41.018,76.061,34.25,43.07,41.117
48.518,39.273,75.862,31.001,41.092,40.823
47.281,35.307,75.68,30.796,39.335,41.384
46.572,32.152,75.503,31.893,37.692,42.366
46.167,26.399,75.525,31.572,36.279,42.542
45.642,21.161,75.543,31.307,35.027,42.633
44.99,19.521,75.442,28.737,33.907,41.975
44.523,16.177,75.343,26.141,32.871,41.163
44.236,16.093,75.563,24.121,31.883,40.659
44.05,13.187,75.757,22.501,30.982,40.111
43.93,11.984,75.402,21.517,30.128,39.867
44.119,10.015,74.742,21.62,29.321,39.962
44.72,12.165,73.968,21.478,28.655,40.108
45.391,14.575,73.259,21.391,28.064,40.269
45.848,16.398,72.61,21.512,27.548,40.457
45.967,16.269,72.606,23.046,27.077,41.011
46.038,12.226,73.384,24.312,26.701,41.168
46.186,12.484,74.069,25.256,26.386,41.375
46.493,13.099,74.672,25.515,26.141,41.327
46.916,14.941,74.568,26.811,25.95,41.743
47.194,23.356,73.819,28.07,25.779,42.54
47.391,19.687,73.086,29.128,25.645,42.687
47.929,22.585,72.222,28.826,25.647,42.596
48.741,20.125,71.12,28.23,25.78,42.092
49.789,21.006,70.107,27.091,25.902,41.547
50.573,21.878,69.178,25.719,26.011,40.927
50.84,21.19,68.328,25.221,25.961,40.625
50.745,23.918,67.771,24.987,25.727,40.668
50.508,28.213,67.362,25.265,25.462,41.012
50.007,28.921,67.47,25.596,25.156,41.216
49.35,25.345,67.98,23.831,24.848,40.419
48.488,27.44,68.433,23.918,24.575,40.546
47.539,27.725,69.025,23.721,24.362,40.456
46.782,24.301,69.749,23.629,24.201,40.177
46.371,42.385,70.391,23.683,24.079,41.046
46.636,52.029,71.618,22.908,24.058,41.252
48.101,48.416,72.987,22.413,24.056,40.929
49.99,42.693,74.177,22.017,24.056,40.507
51.381,40.545,75.213,21.492,24.056,40.182
51.335,48.793,75.989,20.932,23.931,40.455
49.964,59.996,76.549,19.901,23.775,40.819
48.282,63.466,76.765,19.41,23.635,41.086
47.195,63.134,76.84,19.14,23.442,41.298
46.753,59.047,76.905,19.442,23.329,41.473
46.695,56.147,76.96,19.845,23.261,41.687
46.695,48.902,77.007,21.57,23.213,42.111
46.813,44.851,77.046,23.206,23.305,42.535
47.288,42.592,76.988,24.509,23.629,42.785
47.841,42.029,76.939,25.618,23.924,43.048
48.246,39.858,76.892,25.993,24.192,42.968
48.109,35.352,76.55,25.656,24.324,42.572
47.661,31.153,76.222,25.251,24.401,42.153
47.579,26.852,76.044,24.045,24.356,41.451
47.755,22.281,76.121,22.773,24.252,40.687
47.353,26.26,75.832,21.754,24.123,40.46
46.477,24.228,75.392,21.461,23.971,40.237
45.833,28.879,74.893,20.882,23.823,40.247
45.706,31.708,74.416,20.375,23.691,40.223
45.991,33.849,73.981,20.103,23.477,40.312
46.289,29.525,73.584,19.576,23.188,40.021
46.336,24.295,73.702,19.269,22.922,39.678
46.018,20.619,74.088,18.935,22.686,39.329
45.611,17.711,74.429,18.502,22.475,38.941
45.373,12.745,74.73,18.366,22.313,38.504
45.203,17.152,74.611,18.206,22.204,38.509
45.101,17.079,73.837,18.27,22.122,38.428
45.193,14.406,73.128,18.525,22.074,38.259
45.23,12.41,72.479,18.342,22.065,37.921
45.033,11.371,72.034,17.894,22.14,37.469
44.762,14.491,72.011,18.39,22.289,37.509
44.761,14.362,72.871,19.075,22.424,37.432
45.389,16.786,74.548,20.329,22.473,37.692
46.299,18.087,75.799,21.187,22.418,37.851
47.005,16.317,76.394,21.135,22.344,37.584
47.216,18.776,77.45,21.549,22.278,37.662
47.227,15.756,78.705,22.646,22.219,37.708
47.351,19.555,79.348,23.69,22.178,38.098
47.384,19.312,79.524,23.642,22.232,37.897
47.175,22.141,79.505,24.284,22.406,38.061
46.813,20.426,79.054,24.455,22.565,37.876
46.445,21.359,78.175,25.284,22.754,38.065
46.251,21.51,77.167,25.927,22.927,38.172
46.228,19.778,76.383,26.059,23.045,38.01
46.446,17.755,76.026,26.773,23.145,38.013
46.883,16.453,75.7,26.67,23.244,37.739
47.2,14.758,75.748,26.248,23.334,37.3
47.35,10.655,75.788,26.29,23.349,36.925
47.41,9.34,75.948,30.015,23.35,37.991
47.427,12.5,76.239,31.522,23.351,38.474
47.576,9.518,76.495,32.682,23.491,38.469
47.788,8.965,76.627,33.097,23.668,38.287
47.787,9.587,76.688,31.529,24.032,37.356
47.656,7.027,76.739,29.242,24.366,36.018
47.473,9.442,76.707,29.004,24.67,35.682
47.178,12.978,76.452,29.658,24.942,35.782
47.158,19.545,75.98,31.312,25.189,36.464
48.388,20.752,75.192,34.017,25.505,37.289
50.453,18.04,74.148,33.704,25.846,36.83
52.184,21.095,73.171,36.455,26.194,37.752
52.927,18.944,72.384,38.64,26.51,38.228
52.855,20.883,71.595,47.004,26.865,41.117
52.59,23.949,70.874,53.645,27.188,43.474
52.483,25.753,70.793,56.56,27.48,44.423
52.539,27.847,70.72,59.099,27.73,45.289
52.829,26.341,70.597,56.539,28.052,44.11
53.147,23.563,70.486,56.883,28.343,43.914
53.191,20.642,71.091,55.813,28.607,43.147
52.786,24.822,71.528,55.984,28.846,43.204
52.406,23.792,71.969,57.372,28.939,43.54
52.447,32.281,72.652,62.024,28.824,45.647
53.512,36.336,73.408,69.31,28.72,48.545
56.938,36.979,74.423,77.562,28.813,51.54
62.254,32.153,75.836,82.055,29.244,52.703
66.757,29.965,77.181,79.677,29.697,51.472
68.345,28.619,78.339,77.024,30.29,50.11
66.881,26.257,79.337,74.622,30.829,48.812
63.939,28.699,78.749,72.077,31.319,47.816
61.052,23.711,77.436,70.347,31.435,46.977
58.624,20.064,76.012,66.159,31.359,45.377
56.601,17.872,74.681,61.865,31.087,43.876
54.862,24.618,73.476,57.557,30.628,42.91
53.45,23.099,72.575,53.041,29.992,41.566
52.579,23.79,71.749,49.197,29.258,40.614
52.255,21.892,70.889,45.771,28.6,39.647
51.935,19.554,70.402,42.27,28.001,38.561
51.654,16.891,70.172,39.03,27.442,37.495
51.379,13.802,69.964,35.763,26.9,36.362
50.967,21.274,69.86,34.394,26.439,36.4
50.377,24.421,70.133,33.922,26.029,36.555
50.163,26.275,70.764,34.035,25.646,36.847
50.662,23.672,71.322,33.919,25.306,36.82
51.404,21.516,71.817,32.674,24.988,36.375
51.96,16.749,71.844,30.435,24.721,35.414
52.373,19.154,71.433,28.548,24.58,34.878
52.774,14.246,71.06,27.105,24.341,34.185
52.912,17.015,70.506,25.878,24.14,33.922
52.648,20.165,69.951,25.613,24.048,33.999
52.337,19.046,69.446,25.74,24.066,33.962
52.193,20.741,68.987,26.071,24.078,34.138
52.078,18.352,68.571,26.503,24.015,34.184
51.755,19.236,68.192,27.594,23.959,34.613
51.479,19.446,68.42,28.692,23.983,34.942
51.626,23.235,69.254,30.137,24.133,35.488
52.089,20.858,69.992,29.995,24.086,35.273
52.641,21.011,70.646,29.806,23.956,35.2
53.271,22.896,71.073,29.663,23.904,35.211
53.591,25.284,71.4,29.451,23.865,35.241
53.493,27.24,71.167,29.214,23.747,35.334
53.047,24.688,70.532,29.175,23.641,35.296
52.595,24.667,70.153,29.198,23.631,35.328
52.108,24.905,70.238,29.522,23.774,35.378
51.702,22.75,70.507,29.911,23.957,35.297
51.295,24.499,71.152,29.829,24.123,35.218
50.904,26.308,72.453,31.505,24.274,35.762
50.675,31.903,73.596,41.827,24.398,39.674
51.718,34.333,74.594,50.663,24.51,42.949
54.438,34.887,75.466,66.783,24.543,48.83
57.485,40.415,76.172,72.551,24.589,51.24
58.968,47.935,76.693,75.958,24.786,52.89
58.195,44.827,77.046,78.859,25.082,53.825
56.157,40.28,77.268,81.563,25.443,54.56
54.682,39.454,77.339,81.333,26.222,54.189
54.154,35.101,77.024,78.202,27.064,52.569
54.125,28.576,76.432,77.66,27.836,51.782
53.795,29.022,75.89,72.2,28.543,49.557
52.965,30.947,75.707,67.843,28.627,48.104
51.869,30.22,75.705,64.414,28.419,47.001
50.843,30.743,76.341,59.645,28.177,45.452
50.029,29.119,76.9,55.727,27.961,44.095
49.827,27.88,77.617,52.282,27.767,42.895
49.935,23.567,78.372,48.403,27.422,41.437
49.89,21.132,79.13,46.063,26.962,40.652
49.633,20.858,79.782,43.91,26.482,40.045
49.074,17.991,80.253,41.157,26.021,39.081
48.504,19.646,80.665,38.828,25.611,38.462
